Facultad;jornada;modalidad;programa;estrato;Genero;Departamento;origenacademico
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;M;25-CUNDINAMARCA;25649-SAN BERNARDO
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION TURISTICA Y HOTELERA;3;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;3;F;54-NORTE SANTANDER;54001-CUCUTA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN CIENCIAS SOCIALES;2;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA SALUD;Diurna;Presencial;PSICOLOGIA;2;F;15-BOYACA;15516-PAIPA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;F;15-BOYACA;15232-CHIQUIZA
CIENCIAS;Diurna;Presencial;QUIMICA;2;M;15-BOYACA;15632-SABOYA
CIENCIAS DE LA SALUD;Diurna;Presencial;ENFERMERIA;1;M;25-CUNDINAMARCA;25779-SUSA
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN MATEMATICAS;2;M;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;11-SANTA FE DE BOGOTA D.C;25754-SOACHA
INGENIERIA;Otra;Otra;ESPECIALIZACION EN ENSAYOS NO DESTRUCTIVOS;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;2;M;15-BOYACA;15455-MIRAFLORES
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;18-CAQUETA;41132-CAMPOALEGRE
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;3;M;15-BOYACA;54001-CUCUTA
CIENCIAS DE LA EDUCACION;Otra;Presencial;LICENCIATURA EN FILOSOFIA;2;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;15407-VILLA DE LEYVA
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;3;M;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;2;F;15-BOYACA;15176-CHIQUINQUIRA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA- ESCRITURA Y MATEMATICAS;;F;11-SANTA FE DE BOGOTA D.C;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;2;F;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL;1;F;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION  EN PLANEACION Y GESTION DEL DESARROLLO TERRITORIAL;;F;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;M;25-CUNDINAMARCA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;3;F;11-SANTA FE DE BOGOTA D.C;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;3;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;68-SANTANDER;15753-SOATA
INGENIERIA;Diurna;Otra;MAESTRIA EN METALURGIA Y CIENCIAS DE LOS MATERIALES;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;M;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;2;F;15-BOYACA;15806-TIBASOSA
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;1;F;15-BOYACA;15632-SABOYA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;1;F;85-CASANARE;85250-PAZ DE ARIPORO
