Facultad;jornada;modalidad;programa;estrato;Genero;Departamento;origenacademico
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;F;15-BOYACA;15491-NOBSA
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN GERENCIA TRIBUTARIA;;M;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;1;M;85-CASANARE;85162-MONTERREY
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;1;M;15-BOYACA;15814-TOCA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;3;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Otra;DOCTORADO EN CIENCIAS DE LA EDUCACION;;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;3;F;15-BOYACA;85001-YOPAL
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;25594-QUETAME
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ECONOMIA;1;F;15-BOYACA;15476-MOTAVITA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MUSICA;4;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;2;F;15-BOYACA;15466-MONGUI
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;1;F;25-CUNDINAMARCA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;INGENIERIA ELECTROMECANICA;1;M;85-CASANARE;85001-YOPAL
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;F;85-CASANARE;85162-MONTERREY
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15180-CHISCAS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;M;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;5-ANTIOQUIA;5150-CAROLINA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN CIENCIAS SOCIALES;1;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;DOCTORADO EN CIENCIAS DE LA EDUCACION;;M;68-SANTANDER;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Otra;Otra;MAESTRIA EN FISIOLOGIA VEGETAL;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;2;F;15-BOYACA;15516-PAIPA
SECCIONAL CHIQUINQUIRA;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;M;15-BOYACA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;4;F;15-BOYACA;15001-TUNJA
SECCIONAL DUITAMA;Otra;Otra;ESPECIALIZACION EN  PLANIFICACION DEL  TURISMO SOSTENIBLE;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES;1;F;15-BOYACA;15238-DUITAMA
INGENIERIA;Diurna;Presencial;INGENIERIA DE SISTEMAS Y COMPUTACION;1;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MUSICA;3;F;15-BOYACA;68001-BUCARAMANGA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA DE MINAS;2;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;CONTADURIA PUBLICA;1;F;15-BOYACA;15047-AQUITANIA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;2;F;54-NORTE SANTANDER;50001-VILLAVICENCIO
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN ARCHIVISTICA;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;15511-PACHAVITA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;25288-FUQUENE
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GERENCIA TALENTO HUMANO;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;1;F;15-BOYACA;15407-VILLA DE LEYVA
SECCIONAL SOGAMOSO;Diurna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;M;15-BOYACA;15109-BUENAVISTA
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;1;M;15-BOYACA;15176-CHIQUINQUIRA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15001-TUNJA
SECCIONAL DUITAMA;Diurna;Presencial;DISEï¿½ï¿½O INDUST;2;F;15-BOYACA;15001-TUNJA
CIENCIAS;Diurna;Presencial;BIOLOGIA;1;F;25-CUNDINAMARCA;15455-MIRAFLORES
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15244-EL COCUY
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;F;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION INDUSTRIAL;1;M;15-BOYACA;15238-DUITAMA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;2;M;25-CUNDINAMARCA;85325-SAN LUIS DE PALENQUE
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN MATEMATICAS;2;F;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Diurna;Presencial;CONTADURIA PUBLICA;2;F;54-NORTE SANTANDER;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN CIENCIAS SOCIALES;2;M;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Otra;MAESTRIA EN INGENIERIA CON ENFASIS EN TRANSPORTE- EN TRANSITO Y EN INFRAESTRUCTURA VIAL;;M;15-BOYACA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;3;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA- ESCRITURA Y MATEMATICAS;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA- ESCRITURA Y MATEMATICAS;;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN ALTA GERENCIA EN MERCADOTECNIA;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ECONOMIA;2;F;25-CUNDINAMARCA;25754-SOACHA
INGENIERIA;Otra;Otra;ESPECIALIZACION EN ENSAYOS NO DESTRUCTIVOS;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;F;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA METALURGICA;2;M;15-BOYACA;15238-DUITAMA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;2;M;85-CASANARE;2-SIN DATOS
SECCIONAL SOGAMOSO;Otra;Otra;MAESTRIA EN INGENIERIA;;M;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ADMINISTRACION DE EMPRESAS;1;F;13-BOLIVAR;13688-SANTA ROSA DEL SUR
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;M;15-BOYACA;15632-SABOYA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;11-SANTA FE DE BOGOTA D.C;85162-MONTERREY
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;15238-DUITAMA
SECCIONAL SOGAMOSO;Diurna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15469-MONIQUIRA
INGENIERIA;Diurna;Presencial;INGENIERIA AMBIENTAL;2;F;15-BOYACA;41298-GARZON
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN LENGUAS EXTRANJERAS;2;F;15-BOYACA;85001-YOPAL
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MUSICA;2;M;15-BOYACA;15001-TUNJA
SECCIONAL DUITAMA;Diurna;Presencial;LICENCIATURA EN TECNOLOGIA;2;M;15-BOYACA;15806-TIBASOSA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;2;M;15-BOYACA;15087-BELEN
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;15646-SAMACA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;2;M;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA DE TRANSPORTE Y VIAS;2;F;15-BOYACA;15425-MACANAL
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN INFORMATICA Y TECNOLOGIA;2;F;15-BOYACA;15814-TOCA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES;;F;15-BOYACA;2-SIN DATOS
CIENCIAS;Diurna;Presencial;QUIMICA;3;M;15-BOYACA;15001-TUNJA
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;4;M;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;15660-SAN EDUARDO
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN LINGUISTICA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;25290-FUSAGASUGA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;2;F;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN DOCENCIA DE IDIOMAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA INDUSTRIAL;3;M;15-BOYACA;15238-DUITAMA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GESTION AMBIENTAL;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;M;15-BOYACA;15740-SIACHOQUE
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;15-BOYACA;15407-VILLA DE LEYVA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15820-TOPAGA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GEOTECNIA VIAL;;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;2;M;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;3;F;15-BOYACA;15299-GARAGOA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA INDUSTRIAL;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;M;25-CUNDINAMARCA;25518-PAIME
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;2;M;54-NORTE SANTANDER;54820-TOLEDO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN GERENCIA TRIBUTARIA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN MATEMATICAS;1;M;11-SANTA FE DE BOGOTA D.C;11001-BOGOTï¿½ï¿
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;3;M;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;15-BOYACA;15176-CHIQUINQUIRA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES;2;M;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;DISEï¿½ï¿½O INDUST;2;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;15-BOYACA;15759-SOGAMOSO
SECCIONAL DUITAMA;Otra;Otra;ESPECIALIZACION EN PEDAGOGIA DE LOS DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;4;F;54-NORTE SANTANDER;54001-CUCUTA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;3;F;15-BOYACA;15001-TUNJA
INGENIERIA;Diurna;Presencial;INGENIERIA DE TRANSPORTE Y VIAS;2;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15176-CHIQUINQUIRA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;25513-PACHO
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;3;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN LENGUAS EXTRANJERAS;2;M;68-SANTANDER;15753-SOATA
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN DOCENCIA DE IDIOMAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;1;M;25-CUNDINAMARCA;20001-VALLEDUPAR
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA;2;F;11-SANTA FE DE BOGOTA D.C;15238-DUITAMA
CIENCIAS;Diurna;Presencial;BIOLOGIA;3;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN LINGUISTICA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN IDIOMAS MODERNOS ESPAï¿½ï¿½OL-ING;2;F;15-BOYACA;2-SIN DATOS
CIENCIAS;Diurna;Presencial;QUIMICA;2;F;15-BOYACA;15176-CHIQUINQUIRA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES;1;F;15-BOYACA;15455-MIRAFLORES
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;68-SANTANDER;15218-COVARACHIA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;1;M;25-CUNDINAMARCA;25736-SESQUILE
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MUSICA;1;F;68-SANTANDER;68077-BARBOSA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;3;F;5-ANTIOQUIA;2-SIN DATOS
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;1;F;15-BOYACA;15632-SABOYA
CIENCIAS;Diurna;Presencial;QUIMICA;3;F;15-BOYACA;25473-MOSQUERA
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION TURISTICA Y HOTELERA;2;M;15-BOYACA;15001-TUNJA
INGENIERIA;Diurna;Presencial;INGENIERIA CIVIL;1;F;15-BOYACA;15673-SAN MATEO
INGENIERIA;Diurna;Presencial;INGENIERIA METALURGICA;4;M;20-CESAR;68001-BUCARAMANGA
INGENIERIA;Diurna;Presencial;INGENIERIA AMBIENTAL;2;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ADMINISTRACION DE EMPRESAS;2;M;15-BOYACA;15599-RAMIRIQUI
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;2;F;15-BOYACA;15673-SAN MATEO
SECCIONAL CHIQUINQUIRA;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;2;F;25-CUNDINAMARCA;25175-CHIA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GESTION AMBIENTAL;;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;2;F;20-CESAR;20001-VALLEDUPAR
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;15299-GARAGOA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;F;15-BOYACA;2-SIN DATOS
INGENIERIA;Otra;Otra;ESPECIALIZACION EN ESTRUCTURAS;;M;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA CIVIL;3;F;15-BOYACA;15001-TUNJA
INGENIERIA;Diurna;Presencial;INGENIERIA DE SISTEMAS Y COMPUTACION;2;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA- ESCRITURA Y MATEMATICAS;;F;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;1;F;15-BOYACA;15097-BOAVITA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;2;M;25-CUNDINAMARCA;25307-GIRARDOT
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;5;F;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;2;M;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;2;M;25-CUNDINAMARCA;25290-FUSAGASUGA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Diurna;Presencial;DERECHO;3;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN ARTES PLASTICAS;3;M;15-BOYACA;15407-VILLA DE LEYVA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA DE MINAS;2;M;23-CORDOBA;23001-MONTERIA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;25873-VILLAPINZON
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GERENCIA TALENTO HUMANO;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;5-ANTIOQUIA;5674-SAN VICENTE
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;1;F;15-BOYACA;15476-MOTAVITA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;15090-BERBEO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;DISEï¿½ï¿½O INDUST;2;M;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;M;25-CUNDINAMARCA;25594-QUETAME
